,time,u10,dep
750,2020-03-16,-1.5130857,04
751,2020-03-17,0.08082452,04
752,2020-03-18,-0.063444875,04
753,2020-03-19,-0.52047086,04
754,2020-03-20,-0.5666049,04
755,2020-03-21,-0.02151752,04
756,2020-03-22,-0.5481577,04
757,2020-03-23,-0.35681146,04
758,2020-03-24,-0.41227332,04
759,2020-03-25,-0.06835113,04
760,2020-03-26,-0.56539416,04
761,2020-03-27,-0.3076173,04
762,2020-03-28,0.00023950935,04
763,2020-03-29,-0.118227914,04
764,2020-03-30,0.11045325,04
765,2020-03-31,-0.33316082,04
766,2020-04-01,0.1186316,04
767,2020-04-02,0.75622934,04
768,2020-04-03,0.29908594,04
769,2020-04-04,-0.19772573,04
770,2020-04-05,-0.62547106,04
771,2020-04-06,-0.48954767,04
772,2020-04-07,-0.57254326,04
773,2020-04-08,-0.11786525,04
774,2020-04-09,-0.024983903,04
775,2020-04-10,-0.17137115,04
776,2020-04-11,0.043060303,04
777,2020-04-12,-0.18253517,04
778,2020-04-13,-0.7060152,04
779,2020-04-14,-0.017936964,04
780,2020-04-15,-0.86159766,04
781,2020-04-16,-0.3366563,04
782,2020-04-17,-0.048190642,04
783,2020-04-18,0.3056983,04
784,2020-04-19,-0.71917844,04
785,2020-04-20,-0.6877307,04
786,2020-04-21,-1.0004768,04
787,2020-04-22,-0.108248994,04
788,2020-04-23,0.4996708,04
789,2020-04-24,0.75053346,04
790,2020-04-25,0.8692373,04
791,2020-04-26,0.72096956,04
792,2020-04-27,0.15781705,04
793,2020-04-28,0.13657743,04
794,2020-04-29,2.1126876,04
795,2020-04-30,0.80856913,04
796,2020-05-01,1.648346,04
797,2020-05-02,2.5448384,04
798,2020-05-03,1.446785,04
799,2020-05-04,0.39065635,04
800,2020-05-05,0.82191783,04
801,2020-05-06,0.55123883,04
802,2020-05-07,0.30100304,04
803,2020-05-08,-0.14072493,04
804,2020-05-09,-0.4814615,04
