,time,u10,v10,t2m,dep,tp
6106,2020-10-13,0.2665738,-1.1961757,280.12543,26,0.0012702366
6107,2020-10-14,0.10817865,-1.5734515,279.89893,26,0.0033520174
6108,2020-10-15,0.66758424,-3.8508599,278.7973,26,0.013714683
6109,2020-10-16,0.24318705,-3.107733,280.40524,26,0.01383293
6110,2020-10-17,-0.05161305,-2.1064422,281.0153,26,0.0011449547
6111,2020-10-18,-0.14460845,-1.8885425,280.38342,26,6.979735e-05
6112,2020-10-19,-0.4956468,1.5083723,281.42764,26,5.647462e-05
6113,2020-10-20,-0.97855574,2.9967346,283.9982,26,0.000594596
6114,2020-10-21,-1.3154097,3.333318,286.90884,26,0.0015096376
6115,2020-10-22,-1.0910001,1.9653374,286.38193,26,0.06526344
6116,2020-10-23,-0.90537363,1.4185115,285.18677,26,0.3330946
6117,2020-10-24,0.21121389,-1.2932019,283.882,26,0.037680704
6118,2020-10-25,-1.0940738,2.1929073,283.93872,26,0.0054700132
6119,2020-10-26,0.16583107,-1.2745064,280.85635,26,0.5212665
6120,2020-10-27,0.13593479,-1.0250452,279.69797,26,0.028128771
6121,2020-10-28,-0.06303988,0.21434827,282.40778,26,0.008071403
6122,2020-10-29,0.36895356,-2.2117333,282.60562,26,0.0012522085
6123,2020-10-30,-0.20557527,-1.792696,283.6623,26,7.126077e-05
6124,2020-10-31,-0.23640798,0.3815759,283.5347,26,1.0782712e-05
6125,2020-03-01,2.9507692,3.2655683,278.54984,27,0.08263656
6126,2020-03-02,3.226002,0.59091634,279.0638,27,0.11611636
6127,2020-03-03,3.2272632,0.8834897,277.8626,27,0.021346316
6128,2020-03-04,1.1881381,3.243967,278.67404,27,0.028142702
6129,2020-03-05,2.2420747,1.0535499,281.54272,27,0.27255633
6130,2020-03-06,3.3542862,-1.9802836,278.78485,27,0.047833256
6131,2020-03-07,2.4741375,1.4266964,279.95987,27,0.0024431406
6132,2020-03-08,3.4459016,3.8603172,281.36673,27,0.03929949
6133,2020-03-09,4.4626136,0.8039962,280.52408,27,0.025313731
6134,2020-03-10,5.444229,2.8073573,284.20908,27,0.03316651
6135,2020-03-11,4.419292,4.372605,284.91144,27,0.0059935143
6136,2020-03-12,5.796163,1.1535227,281.76874,27,0.016066195
6137,2020-03-13,3.3849914,0.9309595,279.90598,27,0.0071661538
6138,2020-03-14,1.604174,2.6511743,280.59164,27,0.06972215
6139,2020-03-15,1.663083,3.2572987,282.16272,27,0.005743757
6140,2020-03-16,0.5808855,-1.9357423,280.98102,27,0.019821037
6141,2020-03-17,0.60346216,0.5332347,281.51996,27,0.0011715109
6142,2020-03-18,1.1061429,0.54610735,283.1311,27,0.0008749004
6143,2020-03-19,-1.649397,-1.2378031,283.68777,27,0.011931641
6144,2020-03-20,-3.3323786,-2.5076084,282.6575,27,0.015724074
6145,2020-03-21,-4.7000346,-2.068956,280.18732,27,0.0017196488
6146,2020-03-22,-5.285624,-0.9052959,279.8408,27,0.003534649
6147,2020-03-23,-4.2882385,0.9435225,278.81427,27,0.00061667577
6148,2020-03-24,-3.113112,0.89463764,278.60184,27,0.0
6149,2020-03-25,-2.9715068,-0.91682756,278.14713,27,0.0
6150,2020-03-26,-2.9349098,-2.3241477,277.92252,27,0.0
6151,2020-03-27,-1.1537529,-2.7867525,279.33994,27,0.0
6152,2020-03-28,-1.5752894,-3.5556374,281.36676,27,5.0219196e-06
6153,2020-03-29,-3.4832814,-6.27683,278.02438,27,0.007913036
6154,2020-03-30,-3.724074,-4.356887,276.6873,27,0.00071725965
6155,2020-03-31,-3.2338736,-2.5966208,277.969,27,8.830202e-06
6156,2020-04-01,-1.6032144,-1.9483634,278.19196,27,5.5323414e-07
6157,2020-04-02,1.4408513,-1.7505156,278.44913,27,0.0004489862
6158,2020-04-03,2.0541306,-0.9859351,281.36703,27,0.013173817
6159,2020-04-04,-1.7331301,1.1731834,281.8222,27,0.0011571777
6160,2020-04-05,-2.1940591,3.0435605,285.42047,27,3.683263e-06
